"","x"
"1","0.95"
"2","-0.02"
"3","-0.02"
"4","-0.02"
"5","-0.02"
"6","-0.02"
"7","-1.10"
"8","-1.10"
"9","-1.10"
"10","-1.10"
"11","-1.10"
"12","-1.13"
"13","-1.13"
"14","-1.13"
"15","-1.13"
"16","-1.13"
"17","-0.36"
"18","-0.36"
"19","-0.36"
"20","-0.36"
"21","-0.36"
"22","0.42"
"23","0.42"
"24","0.42"
"25","0.42"
"26","0.42"
"27","0.42"
"28","0.42"
"29","0.42"
"30","0.42"
"31","0.42"
"32","-0.31"
"33","-0.31"
"34","-0.31"
"35","-0.31"
"36","-0.31"
"37","-1.05"
"38","-1.05"
"39","-1.05"
"40","-1.05"
"41","-1.05"
"42","-1.01"
"43","-1.01"
"44","-1.01"
"45","-1.01"
"46","-1.01"
"47","-0.73"
"48","-0.73"
"49","-0.73"
"50","-0.73"
"51","-0.73"
"52","-0.64"
"53","-0.64"
"54","-0.64"
"55","-0.64"
"56","-0.64"
"57","-0.69"
"58","-0.69"
"59","-0.69"
"60","-0.69"
"61","-0.69"
"62","-0.67"
"63","-0.67"
"64","-0.67"
"65","-0.67"
"66","-0.67"
"67","-0.48"
"68","-0.48"
"69","-0.48"
"70","-0.48"
"71","-0.48"
"72","-0.56"
"73","-0.56"
"74","-0.56"
"75","-0.56"
"76","-0.56"
"77","-1.02"
"78","-1.02"
"79","-1.02"
"80","-1.02"
"81","-1.02"
"82","-1.29"
"83","-1.29"
"84","-1.29"
"85","-1.29"
"86","-1.29"
"87","-1.58"
"88","-1.58"
"89","-1.58"
"90","-1.58"
"91","-1.58"
"92","-1.05"
"93","-1.05"
"94","-1.05"
"95","-1.05"
"96","-1.05"
"97","-1.13"
"98","-1.13"
"99","-1.13"
"100","-1.13"
"101","-1.13"
"102","-1.45"
"103","-1.45"
"104","-1.45"
"105","-1.45"
"106","-1.45"
"107","-1.54"
"108","-1.54"
"109","-1.54"
"110","-1.54"
"111","-1.54"
"112","-1.39"
"113","-1.39"
"114","-1.39"
"115","-1.39"
"116","-1.39"
"117","-1.18"
"118","-1.18"
"119","-1.18"
"120","-1.18"
"121","-1.18"
"122","-1.24"
"123","-1.24"
"124","-1.24"
"125","-1.24"
"126","-1.24"
"127","-1.63"
"128","-1.63"
"129","-1.63"
"130","-1.63"
"131","-1.63"
"132","-1.41"
"133","-1.41"
"134","-1.41"
"135","-1.41"
"136","-1.41"
"137","-1.48"
"138","-1.48"
"139","-1.48"
"140","-1.48"
"141","-1.48"
"142","-0.97"
"143","-0.97"
"144","-0.97"
"145","-0.97"
"146","-0.97"
"147","-1.25"
"148","-1.25"
"149","-1.25"
"150","-1.25"
"151","-1.25"
"152","-1.25"
"153","-0.84"
"154","-0.84"
"155","-0.84"
"156","-0.84"
"157","-0.84"
"158","-0.55"
"159","-0.55"
"160","-0.55"
"161","-0.55"
"162","-0.55"
"163","-0.73"
"164","-0.73"
"165","-0.73"
"166","-0.73"
"167","-0.73"
"168","-1.71"
"169","-1.71"
"170","-1.71"
"171","-1.71"
"172","-1.71"
"173","-1.26"
"174","-1.26"
"175","-1.26"
"176","-1.26"
"177","-1.26"
"178","-0.73"
"179","-0.73"
"180","-0.73"
"181","-0.73"
"182","-0.73"
"183","-1.16"
"184","-1.16"
"185","-1.16"
"186","-1.16"
"187","-1.16"
"188","-1.33"
"189","-1.33"
"190","-1.33"
"191","-1.33"
"192","-1.33"
"193","-0.10"
"194","-0.10"
"195","-0.10"
"196","-0.10"
"197","-0.10"
"198","-0.12"
"199","-0.12"
"200","-0.12"
"201","-0.12"
"202","-0.12"
"203","-0.31"
"204","-0.31"
"205","-0.31"
"206","-0.31"
"207","-0.31"
"208","-0.32"
"209","-0.32"
"210","-0.32"
"211","-0.32"
"212","-0.32"
"213","-0.06"
"214","-0.06"
"215","-0.06"
"216","-0.06"
"217","-0.06"
"218","-0.07"
"219","-0.07"
"220","-0.07"
"221","-0.07"
"222","-0.07"
"223","-0.52"
"224","-0.52"
"225","-0.52"
"226","-0.52"
"227","-0.52"
"228","-0.37"
"229","-0.37"
"230","-0.37"
"231","-0.37"
"232","-0.37"
"233","-0.14"
"234","-0.14"
"235","-0.14"
"236","-0.14"
"237","-0.14"
"238","-0.77"
"239","-0.77"
"240","-0.77"
"241","-0.77"
"242","-1.04"
"243","-1.04"
"244","-1.04"
"245","-1.04"
"246","-1.04"
"247","-0.70"
"248","-0.70"
"249","-0.70"
"250","-0.70"
"251","-0.70"
"252","-0.06"
"253","-0.06"
"254","-0.06"
"255","-0.06"
"256","-0.06"
"257","-0.37"
"258","-0.37"
"259","-0.37"
"260","-0.37"
"261","-0.37"
"262","-0.48"
"263","-0.48"
"264","-0.48"
"265","-0.48"
"266","-0.58"
"267","-0.58"
"268","-0.58"
"269","-0.58"
"270","-0.58"
"271","-0.79"
"272","-0.79"
"273","-0.79"
"274","-0.79"
"275","-0.79"
"276","-0.20"
"277","-0.20"
"278","-0.20"
"279","-0.20"
"280","-0.20"
"281","-0.15"
"282","-0.15"
"283","-0.15"
"284","-0.15"
"285","-0.15"
"286","0.03"
"287","0.03"
"288","0.03"
"289","0.03"
"290","0.03"
"291","-0.21"
"292","-0.21"
"293","-0.21"
"294","-0.21"
"295","-0.21"
"296","-0.30"
"297","-0.30"
"298","-0.30"
"299","-0.30"
"300","0.10"
"301","0.10"
"302","0.10"
"303","0.10"
"304","0.10"
"305","-0.12"
"306","-0.12"
"307","-0.12"
"308","-0.12"
"309","-0.12"
"310","-0.46"
"311","-0.46"
"312","-0.46"
"313","-0.46"
"314","-0.45"
"315","-0.45"
"316","-0.45"
"317","-0.45"
"318","-0.45"
"319","-0.81"
"320","-0.81"
"321","-0.81"
"322","-0.81"
"323","-0.81"
"324","-0.99"
"325","-0.99"
"326","-0.99"
"327","-0.99"
"328","-0.99"
"329","-0.44"
"330","-0.44"
"331","-0.44"
"332","-0.44"
"333","-0.44"
"334","-0.07"
"335","-0.07"
"336","-0.07"
"337","-0.07"
"338","-0.07"
"339","-0.08"
"340","-0.08"
"341","-0.08"
"342","-0.08"
"343","-0.08"
"344","-0.27"
"345","-0.27"
"346","-0.27"
"347","-0.27"
"348","-0.44"
"349","-0.44"
"350","-0.44"
"351","-0.44"
"352","-0.44"
"353","-0.36"
"354","-0.36"
"355","-0.36"
"356","-0.36"
"357","-0.36"
"358","-0.87"
"359","-0.87"
"360","-0.87"
"361","-0.87"
"362","-0.87"
"363","-1.01"
"364","-1.01"
"365","-1.01"
"366","-1.01"
"367","-1.01"
"368","-1.21"
"369","-1.21"
"370","-1.21"
"371","-1.21"
"372","-1.21"
"373","-0.50"
"374","-0.50"
"375","-0.50"
"376","-0.50"
"377","-0.50"
"378","0.17"
"379","0.17"
"380","0.17"
"381","0.17"
"382","0.17"
"383","0.26"
"384","0.26"
"385","0.26"
"386","0.26"
"387","0.26"
"388","0.74"
"389","0.74"
"390","0.74"
"391","0.74"
"392","0.74"
"393","1.45"
"394","1.45"
"395","1.45"
"396","1.45"
"397","1.45"
"398","1.50"
"399","1.50"
"400","1.50"
"401","1.50"
"402","1.50"
"403","1.66"
"404","1.66"
"405","1.66"
"406","1.66"
"407","1.66"
"408","1.70"
"409","1.70"
"410","1.70"
"411","1.70"
"412","1.70"
"413","1.86"
"414","1.86"
"415","1.86"
"416","1.86"
"417","1.86"
"418","1.17"
"419","1.17"
"420","1.17"
"421","1.17"
"422","1.17"
"423","1.12"
"424","1.12"
"425","1.12"
"426","1.12"
"427","1.12"
"428","1.23"
"429","1.23"
"430","1.23"
"431","1.23"
"432","1.23"
"433","0.81"
"434","0.81"
"435","0.81"
"436","0.81"
"437","0.81"
"438","0.60"
"439","0.60"
"440","0.60"
"441","0.60"
"442","0.60"
"443","0.89"
"444","0.89"
"445","0.89"
"446","0.89"
"447","0.89"
"448","0.80"
"449","0.80"
"450","0.80"
"451","0.80"
"452","0.80"
"453","0.65"
"454","0.65"
"455","0.65"
"456","0.65"
"457","0.65"
"458","0.16"
"459","0.16"
"460","0.16"
"461","0.16"
"462","0.16"
"463","0.25"
"464","0.25"
"465","0.25"
"466","0.25"
"467","0.25"
"468","0.87"
"469","0.87"
"470","0.87"
"471","0.87"
"472","0.87"
"473","1.28"
"474","1.28"
"475","1.28"
"476","1.28"
"477","1.28"
"478","1.58"
"479","1.58"
"480","1.58"
"481","1.58"
"482","1.58"
"483","1.82"
"484","1.82"
"485","1.82"
"486","1.82"
