PID pid_obj(2.3, 0 , 0.14)
Time, Theta, Acc, Vel
4848, 52.17, 2.78, -58.19
6584, 52.17, 2.78, -57.70
8336, 52.17, -1.20, -57.90
13948, 6.87, 5.51, -35.67
15676, 6.87, 5.51, -34.70
17428, 6.87, -0.16, -34.73
19180, 6.87, -0.16, -34.75
24852, -30.29, 5.30, -13.12
26636, -30.29, 5.30, -12.14
28436, -30.29, 0.70, -12.03
-31404, -64.17, 5.65, 10.88
-29620, -64.17, 5.65, 11.90
-27820, -64.17, 1.48, 12.15
-22116, -70.09, 2.34, 21.62
-20340, -70.09, 2.34, 22.04
-18488, -70.09, 1.61, 22.40
-16688, -70.09, 1.61, 22.67
-10972, -45.16, -2.03, 14.41
-9184, -45.16, -2.03, 14.05
-7428, -45.16, 1.04, 14.22
-1772, -11.33, -3.94, -1.76
-80, -11.33, -3.94, -2.45
1540, -11.33, 0.26, -2.41
3256, -11.33, 0.26, -2.37
8848, 11.56, -3.14, -15.08
10580, 11.56, -3.14, -15.62
12380, 11.56, -0.27, -15.67
18076, 37.88, -4.11, -32.37
19920, 37.88, -4.11, -33.34
21724, 37.88, -0.87, -33.48
23512, 37.88, -0.87, -33.62
29236, 52.64, -3.02, -45.97
31016, 52.64, -3.02, -46.50
-32724, 52.64, -1.21, -46.71
-27016, 47.16, -0.41, -48.37
-25232, 47.16, -0.41, -48.44
-23372, 47.16, -1.08, -48.69
-17652, 18.77, 3.06, -36.22
-15872, 18.77, 3.06, -35.68
-14076, 18.77, -0.43, -35.75
-12276, 18.77, -0.43, -35.83
-6556, -24.43, 5.87, -11.93
-4812, -24.43, 5.87, -10.90
-3052, -24.43, 0.56, -10.80
2608, -50.62, 4.41, 7.18
4296, -50.62, 4.41, 7.98
5996, -50.62, 1.16, 8.17
7716, -50.62, 1.16, 8.37
13296, -70.87, 4.18, 25.22
15076, -70.87, 4.18, 25.95
16940, -70.87, 1.63, 26.32
22664, -68.80, 1.33, 31.75
24432, -68.80, 1.33, 31.98
26228, -68.80, 1.58, 32.25
28024, -68.80, 1.58, 32.51
-31776, -44.93, -1.89, 24.75
-29988, -44.93, -1.89, 24.42
-28176, -44.93, 1.03, 24.59
-22472, -15.30, -3.31, 11.18
-20688, -15.30, -3.31, 10.58
-18880, -15.30, 0.35, 10.64
-13192, 28.09, -6.02, -13.71
-11420, 28.09, -6.02, -14.74
-9620, 28.09, -0.65, -14.85
-7864, 28.09, -0.65, -14.95
-2184, 56.73, -4.85, -34.82
-384, 56.73, -4.85, -35.95
1332, 56.73, -1.30, -36.16
6980, 53.23, -0.79, -39.37
8716, 53.23, -0.79, -39.51
10472, 53.23, -1.22, -39.71
12272, 53.23, -1.22, -39.91
17976, 27.69, 2.51, -29.73
19752, 27.69, 2.51, -29.29
21552, 27.69, -0.64, -29.40
27264, -3.36, 3.90, -13.48
28996, -3.36, 3.90, -12.78
30752, -3.36, 0.08, -12.77
32504, -3.36, 0.08, -12.75
-27348, -36.63, 4.95, 7.58
-25624, -36.63, 4.95, 8.45
-23864, -36.63, 0.84, 8.59
-18228, -48.55, 2.60, 19.10
-16460, -48.55, 2.60, 19.55
-14596, -48.55, 1.12, 19.81
-12784, -48.55, 1.12, 20.00
-7056, -28.77, -1.76, 12.78
-5312, -28.77, -1.76, 12.46
-3548, -28.77, 0.66, 12.57
2120, 6.04, -4.46, -5.57
3752, 6.04, -4.46, -6.36
5400, 6.04, -0.14, -6.38
7040, 6.04, -0.14, -6.40
12596, 34.10, -4.34, -24.06
14368, 34.10, -4.34, -24.84
16164, 34.10, -0.78, -24.97
21864, 65.92, -5.44, -47.08
23696, 65.92, -5.44, -48.39
25492, 65.92, -1.52, -48.63
31208, 84.57, -4.24, -65.87
-32544, 84.57, -4.24, -66.60
-30744, 84.57, -1.95, -66.92
-28928, 84.57, -1.95, -67.23
-23152, 78.63, -1.09, -71.71
-21364, 78.63, -1.09, -71.90
-19572, 78.63, -1.81, -72.20
-13860, 51.13, 2.21, -63.25
-12072, 51.13, 2.21, -62.87
-10264, 51.13, -1.18, -63.06
-8440, 51.13, -1.18, -63.26
-2688, 11.68, 4.54, -44.42
-956, 11.68, 4.54, -43.62
744, 11.68, -0.27, -43.67
6336, -27.28, 5.53, -21.29
8072, -27.28, 5.53, -20.31
9840, -27.28, 0.63, -20.21
11596, -27.28, 0.63, -20.10
17316, -48.14, 3.67, -5.11
19052, -48.14, 3.67, -4.46
20816, -48.14, 1.11, -4.27
26480, -62.33, 3.19, 8.71
28212, -62.33, 3.19, 9.27
29972, -62.33, 1.43, 9.50
-29936, -65.76, 1.94, 17.34
-28148, -65.76, 1.94, 17.68
-26340, -65.76, 1.51, 17.93
-24524, -65.76, 1.51, 18.19
-18780, -53.36, -0.29, 17.01
-16996, -53.36, -0.29, 16.96
-15188, -53.36, 1.23, 17.18
-9404, -31.50, -1.93, 9.20
-7720, -31.50, -1.93, 8.86
-6008, -31.50, 0.72, 8.98
-4312, -31.50, 0.72, 9.10
1324, -11.53, -2.23, -0.02
3000, -11.53, -2.23, -0.42
4708, -11.53, 0.27, -0.38
10328, -5.78, -0.59, -2.78
12008, -5.78, -0.59, -2.88
13712, -5.78, 0.13, -2.86
15416, -5.78, 0.13, -2.84
21024, 16.76, -3.20, -15.87
22800, 16.76, -3.20, -16.42
